Title_Item,Price,Original Price,description,time_of_published,status
Victoria’s Secret Braw,20.0,0.0,Victoria secret Braw new never worn,2021-02-05T14:43:02-08:00,available
Marc Jacobs Leather Bag,250.0,777.0,Marc Jacobs small Leather Bag nice condition has zipper on the flap big enough for your necessities will go with anything,2020-07-23T19:32:53-07:00,available
Bebe Jeans,69.0,777.0,Bebe Jeans new Condition and are really contrable they stretch with your body really cute on but have not been worn,2021-07-12T13:30:32-07:00,available
Marc Jacobs tote bag,105.0,777.0,Marc Jacobs large tote bag never used great bag  polyester very lite Waite  you can just wipe it clean,2021-01-06T21:59:47-08:00,available
L( A )B LED  FACIAL MASK,125.0,777.0,LRD FACIAL MAST new never used  comes with remote   Great for your Face,2023-04-02T16:42:24-07:00,available
Big FLIRT SHIRT,50.0,777.0,Big Flirt Shirt new Condition I have never worn this  this is vintage but like new condition it has a lot of stretch,2020-11-09T13:26:55-08:00,available
Marc By Marc Jacobs Back pack,65.0,777.0,Marc By Marc Jacobs Back pack good used condition  has zipper out side medium size you can just put it in the washer very nice,2021-09-19T10:22:32-07:00,available
Man’s are women’s tie,29.0,777.0,This is a vintage tie and in excellent condition a man are women can wear this  .,2023-05-16T10:31:36-07:00,available
Taylor Dress,75.0,777.0,Taylor Dress Beautiful Colors very lite Waite new never worn great Design ❤️,2022-06-22T22:11:19-07:00,available
100%Auth Louis Vuitton cellphone case-wallet,250.0,897.0,"Reposhing this item I purchased from @sherlybl. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!",2021-12-02T16:38:42-08:00,available
Michael Kors Bag,222.0,777.0,Michael Kors Leather Large two way Bag with studs and chain 13 inc  long By 17  wide  will hold everything you want to new Condition used a fue times clean inside and out thanks for looking.,2020-08-20T22:01:21-07:00,available
Neck tie,25.0,777.0,Beautiful tie unique great condition,2023-05-16T10:40:00-07:00,available
SEGOLENE PARIS BAG,150.0,777.0,SEGOLENE  Paris bag  Beautiful crossbody excellent condition except for a fue dark markes on the back witch I pointed out  it’s really nice and the color is really pretty 😍 nice size bag the inside is like new this bag has a lot of detail .,2022-11-02T22:21:13-07:00,available
Big star jeans,65.0,777.0,Big Star Jeans used condition but still are very nice really cute,2021-05-19T14:06:14-07:00,available
Dooney & Bourke purce,249.0,777.0,Dooney & Bourke purce new never used got it for a gift and never used has one zipper compartment and a place for your small stuff  really nice canvas leather,2021-04-29T14:06:26-07:00,available
TAHARI  CAPE,48.0,777.0,TAHARI CAPE FAUX  FUR  BEAUTIFUL COLOR LIKE NEW CONDITION Beautiful polyester lining GREAT FOR A NIGHT Out  ON THE TOWN has too pockets also,2021-08-04T14:25:52-07:00,available
Marc By Marc Jacobs Bag,125.0,777.0,Marc By Marc Jacobs Bag new never used really nice Beautiful color for winter 🥶 to clean this just wipe it great for a every day Bag Large.,2022-10-25T22:37:54-07:00,available
Marc By Marc Jacobs skirt,55.0,777.0,Marc By Marc Jacobs skirt new Condition only worn once really super cute has a lot of zippers   Great for this time of year true to size,2021-09-21T20:09:41-07:00,available
Patricia Nash hand  Bag,249.0,777.0,Patricia Nash Bag Leather and the inside  is  swade golden Beautiful Bag has lots of room has two pockets on the outside of the bag an pockets on the inside excellent condition hardly used like new,2020-11-28T10:59:47-08:00,available
Michael kors shoes,85.0,777.0,Michael kors shoes new never worn really cute great with jeans are shorts I really like these ❤️,2022-09-27T19:50:30-07:00,available
NT  jeans,89.0,777.0,NT Jeans Made in Italy 🇮🇹 really different so much detail has draw string for your waist six pockets all together new never worn,2021-09-04T14:11:13-07:00,available
Miss me jeans,60.0,777.0,Miss me jeans used but in great shape great for anything of the year,2020-09-11T14:25:06-07:00,available
